seq_len,method,exp_mode,target_fraction,actual_fp16_pct,top_k,kernel_ms,kernel_speedup,e2e_ms,e2e_speedup,cos_fp16,nan,inf,batch_size,q_heads,kv_heads,head_dim,dtype,causal,exp_approx,input_scale,warmup,repeat,seed,gpu
4096,fp16,-,1.0,100.0,64,0.3924800008535385,1.0,0.3879840075969696,1.0,0.9999999403953552,0,0,1,16,16,128,fp16,True,,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
4096,fp4,exp,0.0,0.0,0,0.16979199647903442,2.311534165286767,0.21369600296020508,1.8155885099508426,0.9845549464225769,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
4096,fp4,exp_approx,0.0,0.0,0,0.1605440005660057,2.444688057291653,0.2035520002245903,1.9060682634849333,0.9614977240562439,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
4096,thrift_5%,exp,0.05,6.105769230769231,2,0.2186719998717308,1.7948342772909218,0.37694400548934937,1.0292881752908847,0.9933872222900391,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
4096,thrift_5%,exp_approx,0.05,6.105769230769231,2,0.2029919996857643,1.933475218043595,0.3590719997882843,1.0805186921445626,0.9813750982284546,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
4096,thrift_10%,exp,0.1,9.086538461538462,3,0.22235199809074402,1.765129183563098,0.377920001745224,1.0266299899589075,0.994422197341919,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
4096,thrift_10%,exp_approx,0.1,9.086538461538462,3,0.20609600096940994,1.904355247105415,0.36238400638103485,1.0706432976211901,0.9841405749320984,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
4096,thrift_25%,exp,0.25,25.96153846153846,9,0.25727999210357666,1.5254975625758438,0.41307199001312256,0.939264866602657,0.9971051216125488,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
4096,thrift_25%,exp_approx,0.25,25.96153846153846,9,0.2454719990491867,1.5988789042081126,0.40092800557613373,0.9677149069181047,0.9916638135910034,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
8192,fp16,-,1.0,100.0,128,1.3926719427108765,1.0,1.3939839601516724,1.0,1.0,0,0,1,16,16,128,fp16,True,,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
